City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Inirida,CO,82.0,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
221,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
230,Mayumba,GA,77.88,scattered clouds,-3.432,10.6554,LIKWALE LODGE
231,Chauk,MM,81.77,overcast clouds,20.8833,94.8167,Bo Khin Guest House
236,Dorado,PR,85.71,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
237,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
241,Malakal,SS,89.89,overcast clouds,9.5334,31.6605,Nile Palace Hotel
243,Acapulco,MX,84.76,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
247,Half Moon Bay,US,79.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
249,Resistencia,AR,77.11,overcast clouds,-27.4606,-58.9839,Niyat Urban Hotel
250,Ahuimanu,US,79.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
256,Bonthe,SL,78.82,few clouds,7.5264,-12.505,Bonthe Holiday Village
257,Kahului,US,78.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
259,Santa Rosa,PH,80.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
260,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
266,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
268,Mahbubabad,IN,79.95,few clouds,17.6167,80.0167,District Collector Residence
270,Odweyne,SO,75.45,clear sky,9.4092,45.064,Eng Hiirey House
276,Faanui,PF,81.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Terra Santa,BR,76.19,overcast clouds,-2.1042,-56.4869,Hotel Sarah
279,Buraydah,SA,82.54,broken clouds,26.326,43.975,Mövenpick Qassim
281,Belmonte,BR,80.98,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
285,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
286,Pitanga,BR,75.2,scattered clouds,-24.7572,-51.7614,Hotel Santa Carmem
291,Kokopo,PG,77.16,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
292,Bandar-E Lengeh,IR,79.3,scattered clouds,26.5579,54.8807,کافی نت پارس
295,Adrar,MR,82.63,clear sky,20.5022,-10.0711,
296,Urubicha,BO,83.82,broken clouds,-15.3833,-62.95,
299,Le Vauclin,MQ,84.25,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
303,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
307,Sorong,ID,78.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
313,Mana,GF,80.01,scattered clouds,5.6592,-53.7767,LE SAMANA
314,Araguacu,BR,85.37,few clouds,-12.9306,-49.8264,Hotel Tocantins
315,Waycross,US,78.85,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
316,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
323,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
327,Conceicao Da Barra,BR,80.24,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
329,Asyut,EG,80.42,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
333,Chazuta,PE,88.65,overcast clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
335,Karaikkudi,IN,82.2,scattered clouds,10.0667,78.7833,Hotel Meyyappaa
336,Lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Acarau,BR,79.95,moderate rain,-2.8856,-40.12,castelo pizzaria
338,Phalaborwa,ZA,77.5,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
341,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
343,Wukari,NG,89.65,overcast clouds,7.85,9.7833,Elimtop
344,Bahir Dar,ET,75.47,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
347,Marakkanam,IN,81.25,broken clouds,12.2,79.95,Samvasa by the Sea
350,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
354,Omboue,GA,78.1,broken clouds,-1.5746,9.2618,Hotel Olako
355,Pemangkat,ID,77.52,overcast clouds,1.1667,108.9667,Ramah Kost KITA
359,Buzmeyin,TM,76.86,clear sky,38.0507,58.2056,
372,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
373,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
378,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
379,Thinadhoo,MV,82.89,clear sky,0.5333,72.9333,
380,Santiago Del Estero,AR,83.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
381,Inhambane,MZ,78.04,clear sky,-23.865,35.3833,Oceano
394,Vila Velha,BR,81.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
396,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
401,Piacabucu,BR,80.82,few clouds,-10.4056,-36.4344,Piaçabuçu News
402,Ratnagiri,IN,78.93,few clouds,16.9833,73.3,Hotel Landmark
