City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Wum,6.3833,10.0667,70.59,66,70,4.59,CM,2022-04-02 00:50:48
132,Port Augusta,-32.5,137.7667,69.22,36,37,7.38,AU,2022-04-02 00:50:49
133,Herat,34.5,62.0,53.22,30,0,9.33,AF,2022-04-02 00:50:49
134,Calvinia,-31.4707,19.776,57.31,67,6,5.39,ZA,2022-04-02 00:50:49
135,Marsa Matruh,31.3525,27.2453,64.6,72,0,12.66,EG,2022-04-02 00:50:50
136,Chokurdakh,70.6333,147.9167,-4.58,86,53,3.24,RU,2022-04-02 00:49:33
137,Paicandu,-23.4575,-52.0486,63.27,100,100,8.05,BR,2022-04-02 00:50:50
138,Nha Trang,12.25,109.1833,80.6,79,97,4.74,VN,2022-04-02 00:49:44
139,Ahipara,-35.1667,173.1667,73.9,61,99,1.72,NZ,2022-04-02 00:50:51
140,Chuy,-33.6971,-53.4616,54.93,73,0,6.06,UY,2022-04-02 00:49:29
141,Samarai,-10.6167,150.6667,82.18,73,100,13.09,PG,2022-04-02 00:50:52
142,Zhuanghe,39.7008,122.9911,47.16,30,66,6.15,CN,2022-04-02 00:50:52
143,Opunake,-39.4556,173.8583,71.85,77,100,9.48,NZ,2022-04-02 00:50:52
144,Gillette,44.2911,-105.5022,42.12,44,100,14.97,US,2022-04-02 00:47:24
145,Poum,-20.2333,164.0167,81.75,80,100,9.78,NC,2022-04-02 00:50:53
146,Severo-Kurilsk,50.6789,156.125,28.13,70,95,28.59,RU,2022-04-02 00:50:54
147,Tuatapere,-46.1333,167.6833,60.8,59,1,5.44,NZ,2022-04-02 00:46:43
148,Misratah,32.3754,15.0925,63.52,54,0,2.13,LY,2022-04-02 00:50:54
149,Derzhavinsk,51.1,66.3167,24.8,87,93,9.33,KZ,2022-04-02 00:50:54
150,Crotone,39.0851,17.1178,55.18,67,0,20.83,IT,2022-04-02 00:50:55
151,Sept-Iles,50.2001,-66.3821,32.52,96,100,4.61,CA,2022-04-02 00:50:55
152,Ajdabiya,30.7554,20.2263,64.63,37,100,8.81,LY,2022-04-02 00:50:56
153,Krasnoselkup,65.7,82.4667,9.28,97,100,7.63,RU,2022-04-02 00:50:56
154,Omboue,-1.5746,9.2618,74.44,93,100,5.57,GA,2022-04-02 00:50:56
155,Nongan,44.382,125.1685,43.21,28,0,6.06,CN,2022-04-02 00:50:57
156,Mehamn,71.0357,27.8492,25.57,79,100,7.34,NO,2022-04-02 00:50:57
157,Zinder,13.8072,8.9881,77.63,6,5,8.5,NE,2022-04-02 00:50:58
158,Monrovia,6.3005,-10.7969,79.32,86,100,6.17,LR,2022-04-02 00:50:58
159,Corinto,37.9407,22.9573,54.63,75,0,8.12,GR,2022-04-02 00:50:58
160,Los Palmitos,9.379,-75.2677,77.74,85,97,7.25,CO,2022-04-02 00:50:59
161,Hay River,60.8156,-115.7999,-4.02,65,75,3.44,CA,2022-04-02 00:50:59
162,Souillac,-20.5167,57.5167,75.58,94,75,23.02,MU,2022-04-02 00:51:00
163,Tiksi,71.6872,128.8694,14.11,90,78,6.08,RU,2022-04-02 00:51:00
164,Takoradi,4.8845,-1.7554,76.69,86,100,6.2,GH,2022-04-02 00:47:37
