City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Olafsvik,IS,64.8945,-23.7142,36.0,93,100,17.45,overcast clouds
180,Florianopolis,BR,-27.6146,-48.5012,72.63,86,75,8.05,broken clouds
181,Emerald,AU,-23.5333,148.1667,69.35,79,86,10.89,overcast clouds
182,Batemans Bay,AU,-35.7167,150.1833,63.1,62,100,6.31,overcast clouds
183,Alofi,NU,-19.0595,-169.9187,80.31,71,89,12.15,overcast clouds
184,Jacksonville Beach,US,30.2947,-81.3931,81.14,47,0,5.99,clear sky
185,Broken Hill,AU,-31.95,141.4333,58.21,59,0,5.79,clear sky
186,Taoudenni,ML,22.6783,-3.9836,91.4,9,0,10.33,clear sky
187,Tautira,PF,-17.7333,-149.15,81.81,77,20,14.76,light rain
188,Kununurra,AU,-15.7667,128.7333,67.98,88,29,0.0,scattered clouds
189,Nishihara,JP,26.1842,127.7558,63.68,72,75,13.8,broken clouds
190,Port Moresby,PG,-9.4431,147.1797,75.25,84,100,3.0,overcast clouds
191,Ahipara,NZ,-35.1667,173.1667,64.74,86,3,2.24,clear sky
192,Maragogi,BR,-9.0122,-35.2225,79.86,80,37,9.84,scattered clouds
193,Otavi,NA,-19.65,17.3333,63.5,89,100,2.21,light rain
194,Saint-Pierre,RE,-21.3393,55.4781,74.88,94,100,9.22,overcast clouds
195,Bethel,US,41.3712,-73.414,42.51,89,100,3.67,overcast clouds
196,Tessalit,ML,20.1986,1.0114,91.65,8,0,6.53,clear sky
197,Elizabeth City,US,36.2946,-76.2511,73.42,31,0,7.0,clear sky
198,Tullahoma,US,35.362,-86.2094,62.22,32,0,4.61,clear sky
199,Cabedelo,BR,-6.9811,-34.8339,75.87,76,61,13.0,broken clouds
200,Kutum,SD,14.2,24.6667,79.27,11,100,9.73,overcast clouds
201,Assare,BR,-6.8744,-39.875,84.07,52,95,3.29,overcast clouds
202,Touros,BR,-5.1989,-35.4608,79.02,85,99,11.7,overcast clouds
203,Mount Gambier,AU,-37.8333,140.7667,46.31,100,38,5.75,mist
204,Eidfjord,NO,60.4675,7.0719,36.84,98,100,4.72,overcast clouds
205,Poum,NC,-20.2333,164.0167,81.99,82,100,17.81,moderate rain
